username,passType,numCircles,numBoxes,success,numCorrect,time(sec)
nighthee,Facebook,4,7,no,1,7.458
nighthee,Facebook,4,7,no,1,0.99
nighthee,Facebook,4,7,no,1,0.879
nighthee,Phone,4,4,yes,4,27.588
nighthee,Bank,4,10,yes,4,20.097
SquatCobbler,Bank,4,10,yes,4,9.104
SquatCobbler,Phone,4,4,yes,4,12.015
SquatCobbler,Facebook,4,7,yes,4,5.024
Mitch,Facebook,4,7,yes,4,16.991
Mitch,Bank,4,10,yes,4,7.79
Mitch,Phone,4,4,yes,4,6.515
user5,Bank,4,10,yes,4,17.906
user5,Facebook,4,7,yes,4,25.454
user5,Phone,4,4,yes,4,15.681
cf,Facebook,4,7,no,0,13.824
cf,Facebook,4,7,no,1,5.393
cf,Facebook,4,7,no,1,3.794
cf,Phone,4,4,no,3,5.254
cf,Phone,4,4,no,3,10.02
cf,Phone,4,4,no,2,6.576
cf,Bank,4,10,yes,4,14.332
mike,Phone,4,4,yes,4,3.647
mike,Facebook,4,7,yes,4,19.739
mike,Bank,4,10,yes,4,10.059
nobody,Phone,4,4,yes,4,5.099
nobody,Facebook,4,7,yes,4,7.498
nobody,Bank,4,10,yes,4,14.713
agent001,Bank,4,10,yes,4,5.025
agent001,Facebook,4,7,no,1,20.026
agent001,Facebook,4,7,no,0,3.422
agent001,Facebook,4,7,no,1,8.683
agent001,Phone,4,4,no,3,4.475
agent001,Phone,4,4,yes,4,1.314
Shane,Phone,4,4,yes,4,3.728
Shane,Facebook,4,7,no,2,5.467
Shane,Facebook,4,7,no,2,2.431
Shane,Facebook,4,7,no,2,5.134
Shane,Bank,4,10,no,2,5.753
Shane,Bank,4,10,no,3,2.135
Shane,Bank,4,10,yes,4,6.195
Test,Facebook,4,7,no,0,14.813
Test,Facebook,4,7,no,2,9.671
Test,Facebook,4,7,no,2,0.959
Test,Bank,4,10,no,2,9.827
Test,Bank,4,10,no,0,3.805
Test,Bank,4,10,no,0,4.677
Test,Phone,4,4,no,2,6.864
Test,Phone,4,4,no,2,1.419
Test,Phone,4,4,no,1,1.82
comp3008,Facebook,4,7,yes,4,7.432
comp3008,Bank,4,10,yes,4,8.023
comp3008,Phone,4,4,yes,4,2.654
Bradley,Bank,4,10,yes,4,5.258
Bradley,Facebook,4,7,no,2,12.361
Bradley,Facebook,4,7,no,1,7.674
Bradley,Facebook,4,7,no,0,2.768
Bradley,Phone,4,4,yes,4,3.991
username,Facebook,4,7,no,0,16.864
username,Facebook,4,7,no,0,2.677
username,Facebook,4,7,no,0,2.292
username,Bank,4,10,yes,4,9.055
username,Phone,4,4,yes,4,3.654
12345,Bank,4,10,yes,4,5.875
12345,Phone,4,4,yes,4,6.179
12345,Facebook,4,7,yes,4,11.764
Tester,Facebook,4,7,no,0,15.067
Tester,Facebook,4,7,no,0,1.004
Tester,Facebook,4,7,no,0,0.689
Tester,Phone,4,4,no,3,3.322
Tester,Phone,4,4,yes,4,1.195
Tester,Bank,4,10,yes,4,8.818
ocd12,Bank,4,10,no,2,29.728
ocd12,Bank,4,10,no,2,9.657
ocd12,Bank,4,10,no,2,2.048
ocd12,Phone,4,4,yes,4,49.356
ocd12,Facebook,4,7,no,0,3.335
ocd12,Facebook,4,7,no,0,1.472
ocd12,Facebook,4,7,no,0,1.388
Judah,Phone,4,4,yes,4,3.303
Judah,Facebook,4,7,no,0,11.359
Judah,Facebook,4,7,no,1,4.174
Judah,Facebook,4,7,no,1,9.447
Judah,Bank,4,10,no,3,7.464
Judah,Bank,4,10,no,3,1.532
Judah,Bank,4,10,yes,4,5.868
Jonny,Facebook,4,7,yes,4,6.368
Jonny,Bank,4,10,yes,4,5.422
Jonny,Phone,4,4,yes,4,6.195
qwer,Phone,4,4,yes,4,14.831
qwer,Bank,4,10,yes,4,5.694
qwer,Facebook,4,7,no,1,15.357
qwer,Facebook,4,7,no,1,11.047
qwer,Facebook,4,7,no,1,0.552
janetseto,Facebook,4,7,yes,4,15.752
janetseto,Bank,4,10,yes,4,16.055
janetseto,Phone,4,4,yes,4,12.963
